841,827,900,1600
841,827,800,1600
817,839,900,65200
817,839,800,65200
819,838,900,1800
819,838,800,1800
823,836,900,102000
823,836,800,102000
839,828,900,16500
839,828,800,16500
892,897,900,6800
892,897,800,6800
888,899,900,10500
888,899,800,10500
890,898,900,48600
890,898,800,48600
838,827,900,1200
838,827,800,1200
887,898,900,10800
887,898,800,10800
899,892,900,4800
899,892,800,4800
889,897,900,10200
889,897,800,10200
885,899,900,153800
885,899,800,153800
897,893,900,10300
897,893,800,10300
837,826,900,66300
837,826,800,66300
841,824,900,700
841,824,800,700
817,836,900,10400
817,836,800,10400
839,825,900,800
839,825,800,800
892,894,900,119400
892,894,800,119400
898,891,900,82200
898,891,800,82200
886,897,900,52900
886,897,800,52900
836,825,900,3600
836,825,800,3600
842,822,900,4000
842,822,800,4000
838,824,900,600
838,824,800,600
895,891,900,612100
895,891,800,612100
899,889,900,10400
899,889,800,10400
879,899,900,2400
879,899,800,2400
885,896,900,28800
885,896,800,28800
897,890,900,31200
897,890,800,31200
841,821,900,11200
841,821,800,11200
839,822,900,34500
839,822,800,34500
827,828,900,8400
827,828,800,8400
892,891,900,74000
892,891,800,74000
896,889,900,42800
896,889,800,42800
876,899,900,150600
876,899,800,150600
898,888,900,9600
898,888,800,9600
878,898,900,10800
878,898,800,10800
886,894,900,664100
886,894,800,664100
826,827,900,45600
826,827,800,45600
836,822,900,2100
836,822,800,2100
824,828,900,11200
824,828,800,11200
842,819,900,18800
842,819,800,18800
828,826,900,97200
828,826,800,97200
873,899,900,5400
873,899,800,5400
875,898,900,102600
875,898,800,102600
877,897,900,1600
877,897,800,1600
895,888,900,48200
895,888,800,48200
893,889,900,576100
893,889,800,576100
885,893,900,5600
885,893,800,5600
897,887,900,100000
897,887,800,100000
825,826,900,96600
825,826,800,96600
823,827,900,102000
823,827,800,102000
839,819,900,2800
839,819,800,2800
827,825,900,77600
827,825,800,77600
874,897,900,24400
874,897,800,24400
892,888,900,574000
892,888,800,574000
876,896,900,27500
876,896,800,27500
890,889,900,53600
890,889,800,53600
872,898,900,1200
872,898,800,1200
886,891,900,145800
886,891,800,145800
826,824,900,10200
826,824,800,10200
836,819,900,3200
836,819,800,3200
818,828,900,48800
818,828,800,48800
822,826,900,3200
822,826,800,3200
828,823,900,60600
828,823,800,60600
838,818,900,9700
838,818,800,9700
887,889,900,45700
887,889,800,45700
873,896,900,36000
873,896,800,36000
875,895,900,14400
875,895,800,14400
877,894,900,29000
877,894,800,29000
871,897,900,148100
871,897,800,148100
885,890,900,28800
885,890,800,28800
841,815,900,17400
841,815,800,17400
817,827,900,10400
817,827,800,10400
823,824,900,93800
823,824,800,93800
839,816,900,2400
839,816,800,2400
827,822,900,27500
827,822,800,27500
874,894,900,6600
874,894,800,6600
