2177,0,0.1372,0.13682,0.01,0.00667,0.00667,0.00333
1749,1,0.1372,0.13682,0.00333,0,0.00667,0.00333
1748,2,0.13682,0.13645,0.00333,0,0.00667,0.00333
1321,3,0.1372,0.13682,0.00667,0.00333,0.00333,0
1963,4,0.1372,0.13682,0.00667,0.00333,0.00667,0.00333
1320,5,0.13682,0.13645,0.00667,0.00333,0.00333,0
1107,6,0.1372,0.13682,0.00333,0,0.00333,0
2605,7,0.1372,0.13682,0.00667,0.00333,0.01,0.00667
1535,8,0.1372,0.13682,0.01,0.00667,0.00333,0
2819,9,0.1372,0.13682,0.01,0.00667,0.01,0.00667
2820,10,0.13757,0.1372,0.01,0.00667,0.01,0.00667
2606,11,0.13757,0.1372,0.00667,0.00333,0.01,0.00667
2391,12,0.1372,0.13682,0.00333,0,0.01,0.00667
2392,13,0.13757,0.1372,0.00333,0,0.01,0.00667
2604,14,0.13682,0.13645,0.00667,0.00333,0.01,0.00667
2818,15,0.13682,0.13645,0.01,0.00667,0.01,0.00667
2390,16,0.13682,0.13645,0.00333,0,0.01,0.00667
2176,17,0.13682,0.13645,0.01,0.00667,0.00667,0.00333
2175,18,0.13645,0.13607,0.01,0.00667,0.00667,0.00333
1962,19,0.13682,0.13645,0.00667,0.00333,0.00667,0.00333
1961,20,0.13645,0.13607,0.00667,0.00333,0.00667,0.00333
2603,21,0.13645,0.13607,0.00667,0.00333,0.01,0.00667
2817,22,0.13645,0.13607,0.01,0.00667,0.01,0.00667
2389,23,0.13645,0.13607,0.00333,0,0.01,0.00667
1534,24,0.13682,0.13645,0.01,0.00667,0.00333,0
1533,25,0.13645,0.13607,0.01,0.00667,0.00333,0
1105,26,0.13645,0.13607,0.00333,0,0.00333,0
1106,27,0.13682,0.13645,0.00333,0,0.00333,0
2822,28,0.13832,0.13794,0.01,0.00667,0.01,0.00667
2393,29,0.13794,0.13757,0.00333,0,0.01,0.00667
2394,30,0.13832,0.13794,0.00333,0,0.01,0.00667
1966,31,0.13832,0.13794,0.00667,0.00333,0.00667,0.00333
2608,32,0.13832,0.13794,0.00667,0.00333,0.01,0.00667
1752,33,0.13832,0.13794,0.00333,0,0.00667,0.00333
1110,34,0.13832,0.13794,0.00333,0,0.00333,0
1325,35,0.13869,0.13832,0.00667,0.00333,0.00333,0
1753,36,0.13869,0.13832,0.00333,0,0.00667,0.00333
1111,37,0.13869,0.13832,0.00333,0,0.00333,0
1539,38,0.13869,0.13832,0.01,0.00667,0.00333,0
2180,39,0.13832,0.13794,0.01,0.00667,0.00667,0.00333
1538,40,0.13832,0.13794,0.01,0.00667,0.00333,0
1324,41,0.13832,0.13794,0.00667,0.00333,0.00333,0
2821,42,0.13794,0.13757,0.01,0.00667,0.01,0.00667
1323,43,0.13794,0.13757,0.00667,0.00333,0.00333,0
2607,44,0.13794,0.13757,0.00667,0.00333,0.01,0.00667
1751,45,0.13794,0.13757,0.00333,0,0.00667,0.00333
1965,46,0.13794,0.13757,0.00667,0.00333,0.00667,0.00333
2179,47,0.13794,0.13757,0.01,0.00667,0.00667,0.00333
1537,48,0.13794,0.13757,0.01,0.00667,0.00333,0
1109,49,0.13794,0.13757,0.00333,0,0.00333,0
1322,50,0.13757,0.1372,0.00667,0.00333,0.00333,0
1108,51,0.13757,0.1372,0.00333,0,0.00333,0
1750,52,0.13757,0.1372,0.00333,0,0.00667,0.00333
1964,53,0.13757,0.1372,0.00667,0.00333,0.00667,0.00333
2178,54,0.13757,0.1372,0.01,0.00667,0.00667,0.00333
1536,55,0.13757,0.1372,0.01,0.00667,0.00333,0
1530,56,0.13533,0.13495,0.01,0.00667,0.00333,0
